1,418,5
1,587,5
1,640,4
1,1309,5
1,1723,2
1,2458,5
1,2983,2
1,3837,5
1,4485,5
1,4969,5
1,5003,1
1,6934,5
1,7118,1
1,7297,5
1,7335,4
1,7866,4
1,8825,4
2,617,5
2,724,5
2,989,5
2,2382,5
2,2543,5
2,3370,1
2,3421,4
2,4067,5
2,5027,5
2,5157,5
2,7478,5
2,7852,5
2,7985,4
2,7998,5
2,8379,5
2,8595,5
2,8928,5
2,9005,4
2,9008,5
3,1366,5
3,1619,4
3,1986,5
3,2476,5
3,4235,4
3,4679,5
3,4804,5
3,4925,5
3,5220,1
3,5256,1
3,5266,5
3,5762,5
3,5963,5
3,6510,4
3,6975,5
3,7417,5
3,8750,5
3,8946,5
3,8964,5
3,9047,5
4,189,5
4,247,2
4,2284,5
4,3061,2
4,3174,2
4,4047,5
4,4121,5
4,4772,5
4,4891,5
4,4958,5
4,5828,3
4,6056,5
4,7088,5
4,7223,4
4,7375,1
4,7778,5
4,7797,5
4,7905,5
4,8745,3
4,9040,5
5,93,5
5,176,5
5,940,5
5,2338,5
5,3291,5
5,6596,5
5,6717,5
5,6763,5
5,7664,5
5,7941,5
5,8363,5
5,9085,5
6,219,3
6,252,4
6,1136,3
6,2616,5
6,2652,4
6,2785,5
6,4069,5
6,4247,4
6,4830,4
6,4850,3
6,4981,3
6,5392,4
6,5668,3
6,6818,4
6,7102,5
6,7392,3
6,8113,5
6,8137,3
6,8994,5
6,9030,3
7,972,3
7,3013,5
7,3172,5
7,3418,5
7,4087,4
7,4148,3
7,4249,5
7,4488,4
7,4631,4
7,4932,4
7,5241,4
7,5410,5
7,5973,5
7,7154,4
7,7474,2
7,8125,2
7,8203,4
7,8270,5
7,8635,4
7,8801,2
8,570,5
8,994,4
8,1050,4
8,1784,5
8,2783,4
8,3017,1
8,3435,5
8,3629,5
8,4150,1
8,4405,4
8,5320,5
8,5584,3
8,6360,5
8,7013,3
8,7126,5
8,7614,5
8,8201,5
8,8217,5
8,8234,5
8,8851,5
9,307,5
9,946,5
9,1297,4
9,1778,5
9,2113,4
9,2199,5
9,2279,5
9,2622,5
9,2824,5
9,3283,4
9,3472,5
9,3851,4
9,3899,4
9,7248,5
9,7462,4
9,7597,2
9,7873,5
9,8710,5
9,8896,4
10,1136,4
10,2785,3
10,4074,4
10,4850,5
10,4919,5
10,5067,5
10,5281,5
10,5868,4
10,7012,4
10,8102,4
10,8266,5
10,8855,4
11,412,5
11,529,5
11,834,5
11,920,3
11,1083,5
11,1527,4
11,4485,5
11,4765,3
11,6116,2
11,6730,5
11,6855,5
11,7370,4
11,7769,5
11,7886,3
11,8814,5
11,9081,5
12,593,5
12,637,5
12,1319,5
12,2168,5
12,2199,5
12,3064,5
12,3668,5
12,3899,3
12,5604,5
12,7795,5
12,8470,5
12,8975,5
13,121,5
13,181,3
13,273,1
13,818,4
13,1276,1
13,1625,3
13,2073,2
13,2872,3
13,3464,1
13,3822,1
13,5590,1
13,5677,4
13,6613,3
13,6951,1
13,6961,1
13,7766,2
13,7986,3
13,8533,3
13,8556,1
13,8683,3
14,149,1
14,410,5
14,460,2
14,1597,4
14,1826,1
14,2622,5
14,2867,2
14,3805,3
14,5108,1
14,5237,1
14,6008,3
14,6119,5
14,6477,1
14,7937,4
15,58,4
15,748,5
15,873,5
15,1235,5
15,2764,5
15,2814,5
15,3975,5
15,4932,5
15,5266,5
15,6928,4
15,7947,5
15,8426,5
16,178,4
16,412,5
16,795,5
16,989,5
16,1366,5
16,2172,4
16,2896,5
16,3495,5
16,3638,5
16,4138,5
16,4696,5
16,4841,1
16,4849,5
16,5445,5
16,5450,4
16,6889,3
16,8379,5
16,8408,1
16,8579,5
16,8934,1
17,279,3
17,1167,5
17,1896,4
17,2629,3
17,2914,5
17,3595,4
17,5352,5
17,6573,5
17,7012,5
17,7466,5
17,8102,5
17,8279,5
17,8638,5
17,8840,5
18,1171,5
18,2315,5
18,2576,5
18,2924,5
18,3803,5
18,4780,4
18,5153,4
18,5765,5
18,6226,4
18,7391,2
18,7648,5
18,7827,3
19,127,2
19,308,5
19,713,2
19,787,5
19,866,4
19,1866,3
19,2161,5
19,2533,4
19,2811,5
19,3224,5
19,3229,2
19,3298,5
19,3844,2
19,5181,5
19,5870,1
19,5966,3
19,5970,3
